,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ACCESS-CM2,0.4185304042329179,0.41077745205368643,0.26054102452788896,0.39128186183967983,0.24121107055797353,-0.029815862010181604
ACCESS-ESM1-5,-0.6026431701648178,-0.5363661640849244,-0.6678525884523552,-0.6339009974141092,-0.7087180492903613,-0.5721206016808225
CESM2-WACCM,0.8697249812110925,0.9144584010941159,0.5131407407407309,0.6844822233192147,0.19336451168773294,0.06950840073798759
CMCC-CM2-SR5,2.421245909280074,2.362235693753462,1.9511962962963025,2.240259259259254,1.2583655154341002,1.3361463382970697
CMCC-ESM2,1.0666807324178151,1.1200543338861095,1.019244444444439,1.0542666666666634,0.6632288405120264,0.62194880488736
CNRM-CM6-1,1.9956787179546183,1.922337451910714,1.3896909865422131,1.7477391946804701,1.2451783038724358,0.9231906169191006
CNRM-ESM2-1,0.06459535972469155,0.09287550010592582,0.11612599034079096,-0.2726745474695136,-0.2307013210539921,-0.09667726373888996
CanESM5,2.4087774240532696,2.369870226644565,2.6251925925925974,2.2173962962963003,1.7631360656821613,1.718586115417743
EC-Earth3,2.003798603615415,1.9400241514803227,1.6180124364560555,1.8009868368686028,1.3731132906315011,0.971774563093561
EC-Earth3-CC,1.8082281637045838,1.7255278859794956,2.2968780388539187,1.7684521610639123,1.6134158426018317,1.1830763409570508
EC-Earth3-Veg-LR,0.9706611213833085,0.9509332638960402,1.442035191013673,0.84158478019949,0.8311813470282985,0.3254230085379106
FGOALS-g3,-0.1319495074092174,-0.12181826607037038,-0.4576751493428972,-0.49754074074074595,-0.8666798391790138,-0.7631260213095246
GFDL-CM4,1.3275488972118197,1.3645004145936994,1.0074074074074062,0.9022333333333421,0.7913340330014194,0.5125925925925898
HadGEM3-GC31-LL,-0.020213797813518397,-0.004518679275655302,0.009259259259259522,-0.19154514544767665,-0.4048853547419,-0.5047295922815351
HadGEM3-GC31-MM,1.3412782245753334,1.3364701512252068,1.6419555555555476,0.9909255761239137,0.8299888588787923,0.6343479176165587
INM-CM4-8,1.007265917602993,0.9973856826976188,0.6222222222222271,1.0726333333333358,0.704141920882492,0.5927504553734124
INM-CM5-0,0.741423220973779,0.7684902432283067,0.9444444444444429,0.981788888888893,0.7012180279197864,0.8033788706739529
IPSL-CM6A-LR,0.2654036806580251,0.2907767418245655,0.19107443835468985,0.1512966383450305,0.5550341769239822,0.5779642725209797
KACE-1-0-G,-0.13972693003334058,-0.17161778911247438,0.22222222222222143,-0.31124291650925784,-0.0525867790758241,-0.22708581558222107
MIROC-ES2L,1.4702112159857776,1.3541019812588075,1.7864795420013024,1.3072035463612863,1.197538408295074,0.7438168056975485
MIROC6,1.6950215782792526,1.678699024115481,1.1611072552637225,1.2795862578500206,1.0419984362912729,0.612709107107932
MPI-ESM1-2-HR,1.0520724570383564,1.0387393482472262,1.312131538962447,1.0240376800886537,0.9866482841190418,0.492960487166485
MPI-ESM1-2-LR,1.933693621001396,1.9132070161179087,2.183118623833309,1.6141078684891,1.495823024664766,1.5268812139467514
MRI-ESM2-0,1.8383152489036618,1.8154758478789859,1.9416353239635242,2.0570336165496883,1.3751057971588025,1.420129425615137
NorESM2-LM,2.874520295464002,2.878903725815377,2.603481481481481,2.9088111111111132,2.3778639464546387,2.3229703476946284
NorESM2-MM,1.4999763753641275,1.4794827667219437,1.7591777777777722,1.430203703703711,3.0523198354291665,1.3467151622756788
TaiESM1,0.16701349146899958,0.23867431177446008,0.5410222222222174,-0.05824074074073593,-0.28682751967086517,-0.42052648720885344
UKESM1-0-LL,-0.03725640045854561,-0.037487628473542145,-0.11111111111111427,-0.3778579523989478,-0.32094335470196,-0.32708290953473806
