ACCESS-ESM1-5,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,HadGEM3-GC31-LL,HadGEM3-GC31-MM,IPSL-CM6A-LR,MIROC-ES2L,UKESM1-0-LL
0.00023385249970116814,2.2228728974787658e-09,6.597813639093914e-07,0.7363748657789344,1.965111573418225e-05,0.0018370946542004523,1.931428664627975e-42,0.7037273352953486,1.342679356290795e-29,0.3887541675604754
0.0014978850692284908,3.436516358763846e-10,1.7699794698598028e-06,0.6781712648725462,8.24874247544811e-08,0.0008344130317093313,1.942622398127615e-45,0.8639368932893063,5.139464456227354e-33,0.2548834576334966
0.0694565370711186,0.1358158156605762,0.06802023860062334,0.88078947253718,0.08323939483841498,0.12769306940643899,2.6431197071961327e-07,0.8215512284436146,1.66100388691165e-06,0.2774083147206783
0.002102602491260754,3.6578052964328437e-06,0.015396586892263343,0.3185336789645288,1.0217369033952218e-06,0.4305219972923794,1.0268685805790799e-27,0.0023306117862151106,9.499915311329266e-21,0.5470394563917742
9.818047626418495e-12,0.023837947133788492,0.4913284224653153,0.013073998671246428,9.483081829935298e-06,0.23759452247768198,3.64653081277074e-28,1.116635024973168e-15,5.838144139271072e-25,0.006895225285521998
1.60905621953105e-08,0.9426001587290784,0.013138576460922886,0.05196777638466836,8.580295913081834e-19,0.3412543540267491,7.015909545489759e-20,1.0603806165627041e-17,9.209550245625488e-16,7.913558250874942e-06
0.05180482148651098,2.0293450349459154e-48,1.8217697037384916e-20,0.011765945409655853,7.926119798297155e-45,0.46781109425063006,2.102403145960541e-46,2.2182103553785532e-25,7.89020053307489e-33,0.5302339716376911
0.036907525010167086,1.271150772931415e-47,3.430430204530635e-21,0.0018721603435427954,1.1337282877126681e-45,0.532031982273509,1.2390791656605107e-47,1.724063839056315e-26,1.4802882717673895e-30,0.5044867590251052
0.15220618350890963,3.3972853345148546e-07,0.0029951083596731543,0.09778028696055466,0.0006927404928996641,0.24410388422131446,2.1118661363712084e-06,0.0009513650011186662,1.491817582347398e-05,0.8336201505970895
0.04715519311282121,6.447975918532749e-35,1.5398053486004993e-17,0.08164167404732874,2.3750030982552655e-35,0.08652002773993117,1.08109118623793e-28,1.2124959371435623e-22,6.190473001804039e-20,0.8429228926450204
0.23421438635547498,1.590933162865064e-32,2.4033117455960455e-09,0.0013868740797909958,2.3436275816667263e-41,3.506996740026322e-11,1.6843098854329301e-22,3.4371624051779347e-19,6.733858271287442e-11,0.005167695440707395
0.0671767812746639,6.950550189650506e-16,0.00629394992933702,0.9710901488356782,1.41533800837429e-54,1.0855216859789944e-13,7.98233992461979e-07,1.4353450682313574e-07,0.007831517416082996,0.0012475279440177125
,3.436715221685815e-20,0.0019329621072190456,,4.383292629785033e-83,0.0019529872387274495,1.0865147194962328e-32,0.000634801424223631,1.4856086631323537e-38,0.031231545101423844
,5.701681882035022e-20,0.0032748281262735975,,2.346970729305521e-86,0.0009244054077328761,6.542293579147695e-33,0.00014568030534298167,1.2202873898397998e-46,0.05458591952909338
,0.00017875413333515454,0.43867435473816674,,2.508262288496869e-11,0.3076694525676468,3.160521245805735e-07,0.09782980351519285,1.1276568435427628e-05,0.22183503185526932
,6.660476926218498e-11,0.0866772202976004,,9.867916152158182e-70,0.07264876110064554,4.005469367313852e-23,0.008590585874397936,1.5159818669762603e-38,0.6952404903771803
,2.2174796006749811e-10,0.020673342023160044,,2.3702680969072768e-91,0.023560440068645584,2.7499492614781905e-18,0.0002565819530043847,6.865531889565651e-50,0.00020132196382013706
,0.846983494798905,0.32999818980390516,,6.095676416973083e-102,1.747505196358824e-05,1.0833269073598187e-05,0.0006344126187970875,3.1734861624836906e-45,3.096793342610968e-05
,,3.4887720995919607e-31,,7.484786957118737e-66,0.018430311915110412,1.4383513676997535e-52,,0.00013029228718297673,0.09579657218313486
,,1.0187539346797408e-29,,5.949708526815605e-73,0.019728338335206753,1.1481751582181821e-53,,4.0352358267512834e-05,0.07505237761346648
,,0.001080187291342724,,3.313462127161354e-09,0.4337751276857269,1.2524490389531417e-08,,0.367106437328508,0.753108699318623
,,3.843192729598667e-24,,4.8376364206962583e-51,5.017030217045415e-05,1.3311571194719341e-40,,0.2331551190120339,0.030447492284113212
,,6.506537021641346e-21,,4.8434190449402193e-54,9.188474396772064e-13,5.455645717031344e-41,,0.3017786505911374,1.0712132637410237e-09
,,1.2790316050733383e-11,,6.431695197338835e-37,1.2411657106183534e-17,3.0213104379739905e-36,,0.5829888387669706,1.0590404442773261e-07
,,7.631723704696404e-09,,1.00168240767491e-37,,,,9.389332790477632e-54,0.01163131610124095
,,4.120310969357994e-09,,1.915446586288239e-37,,,,9.414121582875671e-57,0.004394054844952665
,,0.009404291758165154,,3.7128232498838118e-06,,,,1.9971446046467302e-07,0.41753649796063763
,,5.065577305446702e-06,,5.420252391310267e-25,,,,8.15460454185395e-40,0.00012365836887586368
,,0.29352653973168796,,8.249982250779086e-21,,,,2.0820478454856266e-36,9.381670719475247e-15
,,0.5222343164791589,,8.356517534280546e-28,,,,2.8959804507654124e-33,1.4778478318698135e-08
,,3.010339522605618e-13,,1.363471463985934e-44,,,,6.552861842875469e-38,0.000361282040421891
,,2.0642659163926412e-14,,8.485064370464119e-47,,,,1.3386246180174012e-41,0.00018146428901297403
,,0.0009065360610839641,,3.058255544368671e-07,,,,1.3768843675904942e-06,0.5088516440573897
,,1.1419047366830851e-11,,5.408313765791915e-46,,,,7.441199764235281e-25,1.0517652384279754e-08
,,7.2652940440768155e-09,,1.3351478914433536e-38,,,,1.4092724820964022e-22,4.1175382360288225e-20
,,7.090797355198462e-10,,6.006061877256998e-36,,,,9.056987900689035e-12,1.9088392654312006e-29
,,,,1.3732382117036687e-25,,,,1.5125166704930798e-44,
,,,,1.1360355408188358e-26,,,,3.443948497010928e-44,
,,,,3.827430544563132e-06,,,,3.862328377574814e-08,
,,,,1.9347031434265082e-25,,,,8.408823465934573e-32,
,,,,1.8744925095000682e-27,,,,1.6189510831680416e-26,
,,,,3.033606718992564e-39,,,,7.785573190124071e-13,
,,,,2.5151316137116338e-67,,,,,
,,,,2.0054075111428684e-69,,,,,
,,,,1.847223900488265e-10,,,,,
,,,,2.4048318491972227e-50,,,,,
,,,,8.729797926280124e-47,,,,,
,,,,2.468439081231407e-45,,,,,
,,,,4.017654880932967e-57,,,,,
,,,,1.878940125748943e-56,,,,,
,,,,5.277200146422207e-09,,,,,
,,,,1.0876977530549814e-39,,,,,
,,,,4.961109690187996e-37,,,,,
,,,,9.054496497041876e-38,,,,,
,,,,7.664542802544794e-50,,,,,
,,,,1.078555606734375e-52,,,,,
,,,,7.489678534785217e-06,,,,,
,,,,1.6796645942054382e-38,,,,,
,,,,3.0220507260872274e-41,,,,,
,,,,3.2459304156183144e-36,,,,,
,,,,6.2165840124287495e-49,,,,,
,,,,1.0941850745544486e-49,,,,,
,,,,6.602226065289903e-08,,,,,
,,,,7.120712636725432e-30,,,,,
,,,,1.7450226130846446e-28,,,,,
,,,,4.1330816804439284e-33,,,,,
,,,,4.441499251329653e-53,,,,,
,,,,5.9572162051741e-59,,,,,
,,,,2.493263276528606e-07,,,,,
,,,,4.556447834725352e-49,,,,,
,,,,6.992802822017464e-51,,,,,
,,,,1.6010856423063947e-62,,,,,
,,,,4.425141385620224e-55,,,,,
,,,,5.1738915145088246e-58,,,,,
,,,,1.4596271611379332e-09,,,,,
,,,,5.106678075743526e-40,,,,,
,,,,1.1547477586203226e-36,,,,,
,,,,3.8057868117539035e-26,,,,,
,,,,2.1660510106613354e-61,,,,,
,,,,3.814336164464871e-65,,,,,
,,,,5.623002874191588e-10,,,,,
,,,,2.0268336603940734e-44,,,,,
,,,,2.7429818812884635e-51,,,,,
,,,,2.369252262749182e-50,,,,,
,,,,3.6462338936093774e-32,,,,,
,,,,3.1554684581588195e-35,,,,,
,,,,8.535274873794599e-06,,,,,
,,,,9.970643781013536e-19,,,,,
,,,,3.4530072547341974e-17,,,,,
,,,,8.275873899273915e-26,,,,,
,,,,3.1053332405065697e-23,,,,,
,,,,1.5970452737889908e-23,,,,,
,,,,0.0017413004366224748,,,,,
,,,,1.7870778645360056e-18,,,,,
,,,,2.274198091525617e-16,,,,,
,,,,2.0887786588964736e-20,,,,,
,,,,6.874071774702206e-34,,,,,
,,,,3.324214027781717e-35,,,,,
,,,,4.194683636060615e-06,,,,,
,,,,4.8447422281949295e-26,,,,,
,,,,5.721200570585795e-25,,,,,
,,,,7.468384599728833e-25,,,,,
,,,,7.252140557727941e-49,,,,,
,,,,1.1122336614448998e-51,,,,,
,,,,9.899683560679266e-06,,,,,
,,,,1.0359034252704291e-45,,,,,
,,,,3.401373581752375e-50,,,,,
,,,,1.406971082976093e-70,,,,,
,,,,2.267240660439644e-40,,,,,
,,,,1.8106143579028906e-43,,,,,
,,,,2.2454705749990037e-07,,,,,
,,,,1.4103642407535833e-28,,,,,
,,,,3.427690038160539e-26,,,,,
,,,,3.314742511495413e-20,,,,,
