ACCESS-ESM1-5,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,HadGEM3-GC31-LL,HadGEM3-GC31-MM,IPSL-CM6A-LR,MIROC-ES2L,UKESM1-0-LL
1.325191314507451e-23,1.147145809327767e-12,1.4878430233453217e-58,7.0904982063307955e-31,9.593613403452937e-52,5.53715033783204e-20,4.162430261230727e-38,4.870801253563982e-25,0.037847398145094455,8.937598091261986e-26
2.3775145329485752e-23,3.1263638968911364e-12,1.0576414862165403e-61,1.7698830300775567e-32,2.1454039825218833e-56,8.990026729070034e-21,1.138936764994935e-37,1.764946555272358e-25,0.28911024785649375,1.4637524723249868e-26
0.00015974611246483836,0.005741471340380382,4.1883343606146456e-11,4.513473366780604e-06,2.5769353211169203e-09,0.0002925925947688565,5.031031672102044e-06,0.00012598277976049255,0.37253438348159595,3.635234824432296e-05
6.060843284532499e-23,4.6492073869858376e-11,1.44439994724907e-38,9.799484892991367e-28,1.7565747866820858e-44,1.1386768017364335e-21,4.5525945005965604e-20,5.080986353789058e-17,0.0027564613574649105,3.767457094703072e-18
3.550845563202928e-26,7.658066062470759e-13,1.1915914612663205e-77,5.047257763054898e-47,1.8304091899424596e-54,6.256510331508255e-22,3.0318937179079055e-23,4.970192537982069e-26,0.002309445408373438,3.307455591382768e-16
1.1067135714385986e-29,2.9730349418899925e-13,5.295064358276076e-56,1.229092882239931e-45,7.616905160645815e-53,1.5351656840240216e-08,0.0007244724915830044,2.9262268476397955e-28,0.03880766834218611,0.009238663605087493
2.510008928074323e-20,0.07016410667956534,8.279194790729969e-68,1.0890262457689011e-42,7.689767412221443e-66,1.7249652755982953e-18,9.820566236888183e-29,1.2788950643350087e-31,0.2658140700749284,1.2654449832270695e-57
2.3032405842127978e-20,0.03608863770668374,4.110879682858748e-70,1.8325747951369807e-43,1.7627554831427196e-69,1.7914554222542717e-18,3.165801511008921e-28,5.432441027274928e-32,0.07840583819566752,1.986283004726718e-57
0.001104891244814671,0.8160791041245724,1.0295446782251021e-10,3.412937302978939e-08,7.856354983967139e-09,0.00015633296531039005,7.522409856210647e-05,2.2621336285699426e-06,0.9209060378062717,6.9226857051126976e-09
1.52672116755882e-15,0.08634052831195375,8.624527693807449e-48,2.6987997789970713e-30,1.0407885550126544e-43,4.421027319203076e-15,5.506024922345088e-23,1.2388957461749664e-30,0.6902142506047544,1.047585525998634e-42
4.0262116454298094e-13,0.6043851836224072,3.4490971505603376e-74,6.619559638633311e-55,1.5671089737346058e-67,7.043250439720767e-18,1.5919506367182983e-32,2.825962003823576e-36,0.0436256674518167,6.966720709975933e-48
1.3369228261259628e-10,0.11814487408227313,8.727923716690556e-74,5.404584244439818e-49,3.3783477411166977e-63,0.0035070187114015386,3.003541697225714e-09,3.238908580549607e-31,0.2323902143291623,1.011816028241827e-13
,2.419092094047802e-17,2.537169008573763e-49,,4.058571153884431e-61,8.642706628259064e-53,7.279442655217252e-21,1.4333021685275508e-42,0.0006919320909923107,7.955244359923217e-18
,2.6620737458424927e-18,5.091542308324529e-50,,3.326937320054114e-67,4.702493128007499e-55,3.636038151734155e-21,1.1226170500437479e-42,0.002665170651342806,4.407011727269173e-19
,0.00023137886440586228,2.1094903741440356e-09,,3.288257401905649e-08,5.701670502483788e-08,0.0005265330823926588,1.6940798693638523e-06,0.40992871971683253,4.70906572909319e-05
,8.189066578645734e-15,2.710373365480479e-39,,2.1438966921420227e-45,4.088958388830213e-43,1.8851685807072845e-15,5.092589949100579e-26,0.004552810745443333,1.5625235390595091e-10
,1.6186111626924391e-15,1.85662763502897e-81,,2.4188748151477144e-74,1.4481208977408897e-45,7.970021628773079e-18,1.8018773921452063e-45,0.1515336113886658,1.456629560887736e-12
,4.109700720140856e-07,1.0311243930295806e-62,,8.873377388871795e-56,3.9942759301376313e-13,1.7929496137334857e-09,1.2261930801723273e-47,0.5373194592140078,0.003624361667275846
,,1.3663110587994848e-51,,1.7345234915185948e-52,1.9944560445218146e-23,2.2483501106062746e-17,,0.02678345003104906,1.6582657630510936e-13
,,1.5310074484140706e-54,,1.3316305301540503e-58,2.529800997495698e-23,1.9030110487786884e-17,,0.014516800353803398,5.589589903929518e-14
,,8.493116347032672e-08,,5.845092948645697e-09,0.0005538529289048054,0.018520556776880543,,0.23206307950052008,0.001012755615351666
,,1.7570784014617185e-42,,3.3334133147077835e-39,6.701746102124719e-19,5.220395714858265e-15,,0.04379498240790965,5.177697728570593e-17
,,1.7549223362459226e-55,,3.3890175890614505e-46,1.3388659467532816e-18,1.0960032078043775e-10,,0.017462828609850548,2.1418538660923308e-20
,,1.3054143916833794e-48,,1.0057237848297763e-35,0.0017049389899312286,0.07524209175192821,,0.0007363852462478746,0.0002532566099824151
,,4.33120139406802e-53,,8.893811489330082e-69,,,,0.32284367696412664,2.911405293064383e-13
,,2.0090289521199827e-52,,7.558384246151725e-77,,,,0.1459430805580266,2.1202847850044735e-12
,,1.967620782475156e-09,,4.840099238560051e-11,,,,0.2797470748038886,0.000930668850931626
,,4.13748414824831e-36,,1.4722942525260847e-55,,,,0.9675646841506019,1.317231525433934e-11
,,1.0658489161335971e-62,,4.5885435496920586e-79,,,,0.3413956532942459,3.9396772835055166e-10
,,2.0127250924220818e-47,,6.860276801215928e-65,,,,0.7172395689611741,0.22633490246856247
,,8.167708549761094e-60,,1.824258181737657e-41,,,,0.0009468649203118192,6.575893615867897e-36
,,3.87104452103303e-62,,2.473078078311974e-44,,,,0.0008234883402414657,5.098753530416738e-35
,,3.058560099636899e-09,,2.035601408020768e-07,,,,0.02028503738964493,7.937944485674536e-06
,,9.022266352918492e-49,,1.1553643313635542e-35,,,,0.00020369444411094225,1.6566011059665714e-18
,,5.878045131461715e-62,,9.90388998938888e-49,,,,0.012741436595501523,5.977090398623119e-16
,,2.3813221194560924e-54,,4.3022054569192013e-29,,,,0.7240445619782454,0.7122337007572801
,,,,9.944028825683399e-57,,,,0.6277086854618594,
,,,,4.045583984454617e-60,,,,0.9558768904926105,
,,,,1.206620725282299e-08,,,,0.6516860642999038,
,,,,1.5348003120708752e-42,,,,0.06841220977484147,
,,,,2.1827388137457543e-50,,,,0.6918749578995607,
,,,,6.4365079246744845e-53,,,,0.613375532621075,
,,,,3.8792827035325067e-47,,,,,
,,,,3.2650604841273416e-48,,,,,
,,,,8.10527166982336e-06,,,,,
,,,,2.5586068404153642e-39,,,,,
,,,,2.1285687438939154e-53,,,,,
,,,,1.3684002925718003e-53,,,,,
,,,,1.5205000889175372e-44,,,,,
,,,,4.7006449539302555e-51,,,,,
,,,,1.9535447170826653e-09,,,,,
,,,,2.790950767028499e-34,,,,,
,,,,1.4958008334462244e-43,,,,,
,,,,5.129170537262576e-49,,,,,
